Configuration,Location/Bldng_name,Seller Name,Area,Area type,Price (in L),Price Unit
Residential land / Plot in Mayakhedi,Omaxe Anandam,Aarambh Realty,"1,000 sq.ft",(93 sq.m.) Plot Area,? 23, Lac
Residential land / Plot in AB Bypass Road,Omaxe City 2 AB Bypass Road,Aarambh Realty,"3,100 sq.ft",(288 sq.m.) Plot Area,? 50, Lac
Residential land / Plot in AB Bypass Road,Omaxe City 2 AB Bypass Road,Aarambh Realty,"3,100 sq.ft",(288 sq.m.) Plot Area,? 50, Lac
Residential land / Plot in Manglia,Omaxe City 2 Indore,Aarambh Realty,"1,000 sq.ft",(93 sq.m.) Plot Area,? 23, Lac
Residential land / Plot in Bangali Square,,Avni Realty,"1,500 sq.ft",(139 sq.m.) Plot Area,? 1.20,2 Cr
6 Bedroom Independent House in Mahalakshmi Nagar,,Avni Realty,"1,500 sq.ft",(139 sq.m.) Plot Area,? 2.30,3 Cr
Residential land / Plot in AB Bypass Road,Vistara Township,Manthan Realty,"4,018 sq.ft",(373 sq.m.) Plot Area,? 88.00,.6 L
Residential land / Plot in Devguradia,,RN Group of Company,900 sq.ft. ,(84 sq.m.) Plot Area,? 13.00,.5 L
Residential land / Plot in Panchderiya,Millennium Town,Reliable Realty,800 sq.ft. ,(74 sq.m.) Plot Area,? 12.00,.8 L
Residential land / Plot in Ujjain Road,Sakaar Hills,Thakur Construction,"1,500 sq.ft",(139 sq.m.) Plot Area,? 13.00,0.35
1 BHK Residential Apartment in AB Bypass Road,Residential Apartment Omaxe City 1,Aarambh Realty,641 sq.ft. ,(60 sq.m.) Super built-up Area,? 13.00,0.99
3 Bedroom Independent House in AB Bypass Road,Omaxe Shubhanagan,Aarambh Realty,807 sq.ft. ,(75 sq.m.) Plot Area,? 37, Lac
Residential land / Plot in AB Bypass Road,Omaxe City 2 AB Bypass Road,Aarambh Realty,"2,153 sq.ft",(200 sq.m.) Plot Area,? 35, Lac
Residential land / Plot in AB Bypass Road,Omaxe City 2 AB Bypass Road,Aarambh Realty,"1,453 sq.ft",(135 sq.m.) Plot Area,? 23, Lac
Residential land / Plot in Mayakhedi,"Omaxe City 1, Phase 1",Aarambh Realty,"2,100 sq.ft",(195 sq.m.) Plot Area,? 52, Lac
Residential land / Plot in Mayakhedi,"Omaxe City 1, Phase 1",Aarambh Realty,"1,500 sq.ft",(139 sq.m.) Plot Area,? 38, Lac
Residential land / Plot in AB Bypass Road,Omaxe City 2 AB Bypass Road,Aarambh Realty,"4,300 sq.ft",(399 sq.m.) Plot Area,? 64, Lac
Residential land / Plot in Paliya Railway Station Road Super Corridore,Saskar City,Thakur Construction,600 sq.ft. ,(56 sq.m.) Plot Area,? 5.50,5 La
Residential land / Plot in Ujjain Road,Hills And Resort,Thakur Construction,"1,700 sq.ft",(158 sq.m.) Plot Area,? 17.00,.5 L
Residential land / Plot in Indore Ujjain Road,Sakar Hills,Thakur Construction,"4,000 sq.ft",(372 sq.m.) Plot Area,? 30, Lac
Residential land / Plot in Ujjain Road,Hills And Resort Ujjain Road,Thakur Construction,"4,000 sq.ft",(372 sq.m.) Plot Area,? 28, Lac
Residential land / Plot in Ujjain Road,Sakaar Hills,Thakur Construction,"2,000 sq.ft",(186 sq.m.) Plot Area,? 15, Lac
5 Bedroom Independent House in Vijay Nagar,Basant Vihar,India Realty & Associates,"1,210 sq.ft",(112 sq.m.) Plot Area,?2 C,Cr?
Residential land / Plot in Jhalaria,,Space Matrix Realties,"6,000 sq.ft",(557 sq.m.) Plot Area,? 1.80,8 Cr
2 BHK Residential Apartment in Chandralok Colony,Utkarsh Plaza,Space Matrix Realties,900 sq.ft. ,(84 sq.m.) Carpet Area,? 45, Lac
3 BHK Residential Apartment in AB Road indore,Sunil Emerald Court,Space Matrix Realties,"1,718 sq.ft",(160 sq.m.) Super built-up Area,? 60.00,0.13
4 Bedroom Independent House in Bicholi Mardana,neer Nagar,Space Matrix Realties,600 sq.ft. ,(56 sq.m.) Plot Area,? 55, Lac
Residential land / Plot in AB Bypass Road,"DLF Garden City, Indore",Space Matrix Realties,"2,100 sq.ft",(195 sq.m.) Plot Area,? 50.00,.4 L
Residential land / Plot in AB Bypass Road,"DLF Garden City, Indore",Space Matrix Realties,"2,106 sq.ft",(196 sq.m.) Plot Area,? 48.00,0.96
Residential land / Plot in scheme 140,greater brijeshwari,Space Matrix Realties,"1,500 sq.ft",(139 sq.m.) Plot Area,? 1.10,17 C
Residential land / Plot in Mayakhedi,Omaxe Happy Homes Phase 1,Space Matrix Realties,"1,000 sq.ft",(93 sq.m.) Plot Area,? 50, Lac
Residential land / Plot in Hare Krishna Vihar,hare krishna bihar,Space Matrix Realties,"1,500 sq.ft",(139 sq.m.) Plot Area,? 90, Lac
Residential land / Plot in Jhalaria,Lord Empire Metro Colony,Space Matrix Realties,"2,678 sq.ft",(249 sq.m.) Plot Area,? 66.00,0.95
Residential land / Plot in Kanadia Road,Chirag Golf Greens Luxurious Villas,Space Matrix Realties,"10,000 sq.f",(929 sq.m.) Plot Area,? 3.50,5 Cr
Residential land / Plot in Kanadia Road,Chirag Golf Greens Luxurious Villas,Space Matrix Realties,"6,000 sq.ft",(557 sq.m.) Plot Area,? 2.20,25 C
Residential land / Plot in Ujjain Road,Affordable Housing,Affordable Housing,850 sq.ft. ,(79 sq.m.) Plot Area,? 13.00,0.18
Residential land / Plot in Mayakhedi,Omaxe City Shubhanagan,Aarambh Realty,807 sq.ft. ,(75 sq.m.) Plot Area,? 17, Lac
1 BHK Residential Apartment in Bicholi Mardana,Shriji Valley,RN Group of Company,550 sq.ft. ,(51 sq.m.) Carpet Area,? 12, Lac
Residential land / Plot in Ujjain Road,The Hills & Resorts,Thakur Construction,"4,000 sq.ft",(372 sq.m.) Plot Area,? 28.00,.8 L
Residential land / Plot in Jhalaria,County Walk Villa Kent,Space Matrix Realties,"3,500 sq.ft",(325 sq.m.) Plot Area,? 70, Lac
Residential land / Plot in Panchderiya,Millennium Town,Reliable Realty,"1,000 sq.ft",(93 sq.m.) Plot Area,? 16, Lac
1 Bedroom Independent House in Near Aurobindo Hospital,Kalindi Gold,Outbox Property LLP,500 sq.ft. ,(46 sq.m.) Plot Area,? 25, Lac
Residential land / Plot in mr1 mahalaxmi nagar,Mr1 mahalaxmi nagar,Bajaj & Bajaj Property,"1,000 sq.ft",(93 sq.m.) Plot Area,? 76, Lac
Residential land / Plot in AB Bypass Road,Vistara Township,RealtyONE,"1,000 sq.ft",(93 sq.m.) Plot Area,? 31, Lac
Residential land / Plot in AB Bypass Road,Vistara Township,RealtyONE,800 sq.ft. ,(74 sq.m.) Plot Area,? 24.00,.8 L
Residential land / Plot in Ujjain Road,Sakaar Hills,Thakur Construction,"3,750 sq.ft",(348 sq.m.) Plot Area,? 25.00,0.12
Residential land / Plot in Super Corridor,,Ragini,"1,000 sq.ft",(93 sq.m.) Plot Area,? 18.00,.5 L
Residential land / Plot in AB Bypass Road,Vistara Township,Manthan Realty,"2,691 sq.ft",(250 sq.m.) Plot Area,? 72.00,0.66
3 BHK Residential Apartment in Dewas Naka(Panchvati),IDB Belmont park,mittals innovative solutions private limited,"1,700 sq.ft",(158 sq.m.) Carpet Area,? 52, Lac
3 Bedroom Independent House in Chhota Bangarda,Ahinsa Villa,Rahul Pandit,"1,850 sq.ft",(172 sq.m.) Built-up Area,? 75, Lac
4 Bedroom Independent House in Neer Nagar,Sreenath Avenue,Yukti Dreams Reality & Construction,805 sq.ft. ,(75 sq.m.) Plot Area,? 74, Lac
1 BHK Residential Apartment in Nipania,Akash Height,Samadhan Real Estate,490 sq.ft. ,(46 sq.m.) Super built-up Area,? 13.00,.5 L
Residential land / Plot in By Pass,Nirmal US Open Apartments,Property Solutions,"2,450 sq.ft",(228 sq.m.) Plot Area,? 33.00,.5 L
Residential land / Plot in Mansarovar Nagar,,Avni Realty,"1,250 sq.ft",(116 sq.m.) Plot Area,? 81.00,0.25
4 Bedroom Independent House in Kanadia Road,Morya Gardens,SS Property,"1,000 sq.ft",(93 sq.m.) Plot Area,? 99, Lac
Residential land / Plot in AB Bypass Road,Vistara Township,Manthan Realty,800 sq.ft. ,(74 sq.m.) Plot Area,? 26.00,.4 L
Residential land / Plot in Shalimar palms,,Space Matrix Realties,"1,614 sq.ft",(150 sq.m.) Plot Area,? 1.20,21 C
Residential land / Plot in Super Corridor,Sarthak Singapore Lifestyle,Affordable Housing,"1,100 sq.ft",(102 sq.m.) Plot Area,? 28.00,0.05
Residential land / Plot in Hare Krishna Vihar,,Space Matrix Realties,"2,000 sq.ft",(186 sq.m.) Plot Area,? 1.20,2 Cr
Residential land / Plot in Nipania,SS Infinitus,Space Matrix Realties,"1,568 sq.ft",(146 sq.m.) Plot Area,? 79.00,0.97
Residential land / Plot in Rau,Shubh Sankalp Realties,Shubh Sankalp Realties,"1,500 sq.ft",(139 sq.m.) Plot Area,? 14.00,0.99
Residential land / Plot in AB Bypass Road,Shubh Sankalp Realities,Shubh Sankalp Realties,"1,200 sq.ft",(111 sq.m.) Plot Area,? 11.00,0.99
1 BHK Residential Apartment in Nipania,Akash Height,Samadhan Real Estate,402 sq.ft. ,(37 sq.m.) Super built-up Area,? 11.00,0.21
Residential land / Plot in Mayakhedi,Omaxe City 1,Space Matrix Realties,"3,100 sq.ft",(288 sq.m.) Plot Area,? 93, Lac
Residential land / Plot in Mayakhedi,,Space Matrix Realties,"1,200 sq.ft",(111 sq.m.) Plot Area,? 28.00,.8 L
Residential land / Plot in Dhar Road,Ms Coral Velly Dhar Road Jhawahar Takri,Mm Real Estate,600 sq.ft. ,(56 sq.m.) Plot Area,? 15, Lac
Residential property in Lasuriya Mori,Ansal Town,Space Matrix Realties,"1,000 sq.ft",(93 sq.m.) Plot Area,? 58, Lac
3 Bedroom Independent House in Mayakhedi,Omaxe City 1,Space Matrix Realties,807 sq.ft. ,(75 sq.m.) Plot Area,? 45, Lac
3 Bedroom Independent House in Mayakhedi,Omaxe City 1,Ashish Barjatya Associates,807 sq.ft. ,(75 sq.m.) Plot Area,? 43, Lac
3 Bedroom Independent House in Bengali Square,Residential House,India Realty & Associates,750 sq.ft. ,(70 sq.m.) Plot Area,? 75, Lac
4 Bedroom Independent House in Nipania,,Space Matrix Realties,"1,450 sq.ft",(135 sq.m.) Plot Area,? 1.20,25 C
3 BHK Residential Apartment in Bicholi Mardana,aura Grande Exotica,Space Matrix Realties,"2,491 sq.ft",(231 sq.m.) Carpet Area,? 1.50,5 Cr
4 BHK Residential Apartment in Nipania,sky Atlanta Aura,Space Matrix Realties,"4,050 sq.ft",(376 sq.m.) Carpet Area,? 2.10,11 C
Residential land / Plot in Scheme No 136 Indore,,Space Matrix Realties,"1,000 sq.ft",(93 sq.m.) Plot Area,? 62, Lac
Residential land / Plot in AB Bypass Road,"DLF Garden City, Indore",Space Matrix Realties,"2,400 sq.ft",(223 sq.m.) Plot Area,? 57.00,.6 L
3 BHK Residential Apartment in Nipania,Shikhar Balaji Skyz,Space Matrix Realties,"1,566 sq.ft",(145 sq.m.) Super built-up Area,? 65, Lac
Residential land / Plot in Gandhi Nagar,Emaar Continental City,Exp Global India Pvt Limited,"2,738 sq.ft",(254 sq.m.) Plot Area,? 94.00,0.46
Residential land / Plot in Hare Krishna Vihar,,Space Matrix Realties,"1,500 sq.ft",(139 sq.m.) Plot Area,? 85.00,.5 L
4 BHK Residential Apartment in Bicholi Mardana,M Chugh Grande Exotica,Space Matrix Realties,"3,441 sq.ft",(320 sq.m.) Super built-up Area,? 1.20,25 C
Residential land / Plot in Super Corridor,Outbox Lemon City,Outbox Property LLP,800 sq.ft. ,(74 sq.m.) Plot Area,? 14, Lac
Residential land / Plot in Mayakhedi,Omaxe City 1,Space Matrix Realties,"1,100 sq.ft",(102 sq.m.) Plot Area,? 33, Lac
Residential land / Plot in Mayakhedi,Omaxe City 1,Space Matrix Realties,"1,500 sq.ft",(139 sq.m.) Plot Area,? 42, Lac
Residential land / Plot in AB Bypass Road,"DLF Garden City, Indore",RealtyONE,"1,800 sq.ft",(167 sq.m.) Plot Area,? 37, Lac
1 BHK Residential Apartment in Khandwa Road,Sarthak Galaxy,RN Group of Company,535 sq.ft. ,(50 sq.m.) Carpet Area,? 9.90,99 L
1 BHK Residential Apartment in Nipania,Akash Height,Samadhan Real Estate,381 sq.ft. ,(35 sq.m.) Super built-up Area,? 10.00,.6 L
Residential land / Plot in Palakhedi,,Shivani Real Estate,"1,000 sq.ft",(93 sq.m.) Plot Area,? 15.00,.5 L
Residential land / Plot in mr1,,Avni Realty,"2,000 sq.ft",(186 sq.m.) Plot Area,? 2.70,7 Cr
Residential land / Plot in Sai Kripa Colony,,Avni Realty,"1,500 sq.ft",(139 sq.m.) Plot Area,? 1.00,02 C
4 Bedroom Independent House in Mahalakshmi Nagar,,Avni Realty,"1,500 sq.ft",(139 sq.m.) Plot Area,? 1.90,95 C
Residential land / Plot in AB Bypass Road,Sunderdeep Infocity Phase 2,Samadhan Real Estate,"2,680 sq.ft",(249 sq.m.) Plot Area,? 40.00,.2 L
